system_number,a,total_mass,r
1,0.9220601022057232,1.8457797972391945,10.138465001004544
1,6.394737594111037,2.8134716320434485,4.4333786015507695
1,0.1875005913826148,0.1064684878931885,0.4923721481048427
1,0.8229197849964629,1.7889681439239646,11.309449761293353
1,3.0740736480775066,0.2722043446933695,5.370356164878347
1,1.129029751953859,2.2473102412310473,10.26748051229006
1,17.390528601830262,0.1407232878479294,0.884259120143767
1,14.84657473563554,0.1062762443991853,0.8555695971181896
1,16.270220107637755,0.2716368362978049,1.181094633539474
1,12.791421735031548,0.6573279867390813,1.719963760050227
1,0.5278643117741736,3.0666796189183065,4.3411650308083445
1,0.6458917934622445,2.008500711925775,11.836716446523306
1,0.0430817792480134,6.145839761484499,2.0497861715021095
1,0.389329743432001,3.4994553319755606,4.42983306516402
1,26.22975126015228,0.1156809521611224,0.8121456189006424
2,0.2966262216888761,1.034523455080335,0.988178437040962
2,1.000816482048859,2.9746614003168137,1.6281024313231751
2,7.478081300401885,0.2873129129214754,1.0016258454678986
2,1.5222285071885455,2.8898707169042765,1.7107574397488563
2,10.325833779230576,0.1163045332428151,0.6638903659538533
2,0.5005365707031143,1.9393639701289889,1.257547197582793
2,0.1474177283142673,1.3605106078298257,1.072797853963892
2,0.7212289154233461,1.7112149527042315,1.2550547963710497
2,6.267127769718182,0.5564950138492871,1.402178509715897
2,8.890344013918657,0.4106569088028965,1.9845132236634675
2,2.447276574748019,2.1458171789997738,3.285478317425826
2,3.6372972266641814,1.1703761909934374,3.929674876063411
3,0.2496387978753162,1.0933339606245758,1.0748816028190151
3,9.706542371981945,0.1040234347137361,0.6403240173266305
3,7.881938459498396,0.375246767458701,0.9916101315912692
3,5.701358599141763,0.1607021879610772,0.7343766863851745
3,0.0891156371431842,0.5747613365014709,0.8212928020430021
3,6.245869466406966,0.7728065931206154,1.136061518637575
3,4.980825856224076,0.2936606390586106,1.099827395814156
3,3.80570372796156,0.1332245012898846,0.7638779707166771
3,3.649897777003603,0.8752734356641774,1.1056885278951456
3,1.5398511362955056,4.122192922833219,2.11110197935018
3,8.055808572863961,0.2214752975333785,0.9508717546739838
3,0.4683503532034823,2.307487856076035,1.6719100492355947
3,3.231557225562845,1.9978500022629553,1.9597827819431748
3,7.834987318421296,0.143801444263408,0.7084947196207744
4,10.08558365945377,0.1756026391038696,1.1591345488997005
4,5.384367491523633,1.4377674867617103,7.736507397180974
4,12.404505553631529,0.1966114122199592,1.352603167257878
4,19.62380003621014,0.1609886027608056,1.3263680383173662
4,0.210036181027364,709.6974550350672,13.502263472107984
4,2.652780173925932,10048.300371124687,13.489808760006278
4,24.46547619769892,0.1110977452364788,1.1479835474493734
5,6.113237063208859,0.1174199455985517,0.6650481638009651
5,1.5319825428424938,2.364550166100928,2.217082501164644
5,0.1698077269784764,0.6052185372708757,0.8358439993708897
5,4.43831523981873,0.1041616859923059,0.6400200949709541
5,7.968373778490728,0.1744878268839103,0.7529973169769244
5,2.527066292525987,0.8888102682959945,1.7552991663788995
5,3.155353878270621,1.5116626051142792,2.1020285212807988
5,0.5637040648251717,3.10756286852229,2.9618310821786222
5,8.177631960841067,0.1075983135098438,0.6468576746852928
5,6.824731724470189,0.2491133404842724,1.0434890739896348
5,4.859805228791548,1.2320322403258657,1.800328690409669
6,8.206443933853595,1.5994267612582032,2.185010074550306
6,8.105599528121177,0.6906360424983029,1.1561151873489246
6,2.3853952076262632,5.463430670287395,2.7770825577271983
6,1.1537760183288848,6.759192929169495,3.046048905051004
6,0.2112203503379693,3.528646936410953,1.4219057457981463
6,11.293939794240655,0.4377513987780041,1.111961375794688
6,9.664086169915256,0.9733172375198008,1.725972297391296
6,5.376538101027324,0.7097709316587463,1.5012653444545527
7,22.363908696491503,0.1843735534736365,0.7981768720922923
7,3.0558326723345552,9.725744094591535,3.630429742257102
7,31.487816825925385,0.1032154619144603,0.6417851540128614
7,0.1570251529107401,6.818984756732291,1.6982129558687782
7,29.870861874423944,0.251430014618692,0.8609470500787919
7,19.667461329165345,0.1009932191446028,0.6996931690466125
7,2.1069008034475747,3.9594307988232624,4.226078733084287
7,8.792096604052885,7.447991866033038,2.8880795265170285
7,11.127400233748828,0.4211314186014935,1.1875623535269109
7,0.6610379857951799,22.302463806291012,2.6863503335426047
7,14.195570636600811,0.1784461024213623,0.7856201680288801
7,68.20588812009784,0.4759832485177642,1.0695385885568962
8,0.4365908078836663,1.9966422290110883,1.2150721295055704
8,0.0499550296317837,0.9460064486082824,0.9563397985804346
8,7.9914258170863,1.62327975786377,2.2798348818960883
8,0.2193181310763937,1.939038496492419,1.193136956534292
8,1.2300678722963223,8.198643996831864,5.313954015319407
8,0.6550125313525774,8.178650473410272,4.82632022366347
8,5.066750836726438,1.6938998352568455,3.28056993322869
8,0.1189455609300383,1.817320958587916,1.1627415789546311
8,4.994946821233884,0.1151842097759674,0.686618537929358
8,10.685335893048748,0.1409169416610092,0.6440964406617417
8,0.3086272768140869,2.525485176736818,2.0381452405713327
8,0.9798701022630636,4.487907263634305,1.9288872633432737
8,11.353827310985276,0.5318256825526138,1.2283970667838555
8,3.535672562084277,2.585725805838425,3.0145666156647235
9,0.0898505465703981,12.105482797012897,3.116853253228693
9,21.06508573865436,1.2897513989590406,2.256713038229469
9,1.2022487741668832,3.3678412550350747,1.8361799478198004
9,30.627682954225037,0.149096022131704,0.9291792909270048
9,33.11716771233406,0.1861890942294636,1.1463743883220834
9,0.1464813276904927,6.36649178275628,11.786049254810862
9,32.935492010267325,0.1899373022403258,1.7594194665766705
9,35.417252185784704,0.1364077214754469,1.0457590768419327
9,18.955500632755427,0.2057806467073998,1.1937517810014098
9,1.4393784585989913,7.745732528173794,3.616353976267458
9,30.91043827976441,0.822806135234216,2.208286325675709
9,0.0452418001578044,15.841949151391718,2.7098151054026016
9,29.837392350136707,0.6277301303914913,1.995172163553596
9,12.10592903485033,15.22502157501697,5.018586910123993
10,0.4801583537684274,2.8544889119710346,1.473984486510746
10,19.635550922467495,0.1455786163385381,0.7095587396239208
10,9.54229788458561,0.6449253807196198,1.8421869141547604
10,1.24052806120868,5.645454352115863,2.871252704379214
10,9.952000084517842,0.4267961102059289,1.120664132526754
10,12.172868083424792,0.138524580402806,0.701591449407619
10,39.18775855914526,0.1039152902466621,0.6403307389885393
10,8.849931666000405,0.8704872428151164,1.6662379316339573
10,3.0715042542926225,7.580537353699929,2.162102561004545
